"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_MT_Pontes.de.Lacerda.867020_INMET","MT","Pontes e Lacerda",43235,6,25.33745434,14.9,5598.2,662.2
"BRA_MT_Porto.Estrela.867040_INMET","MT","Porto Estrela",3158,8,25.39585616,6.9,5619.5,701.2
"BRA_MT_Querencia.866470_INMET","MT","Querencia",15597,7,25.02890411,0,5485.6,420.7
"BRA_MT_Rondonopolis.867280_INMET","MT","Rondonopolis",215320,6,25.49202055,8.9,5654.6,686.3
"BRA_MT_Salto.do.Ceu.867030_INMET","MT","Salto do Ceu",3502,5,24.56363014,18.2,5315.7,451.7
"BRA_MT_Santo.Antonio.do.Leste.866850_INMET","MT","Santo Antonio do Leste",4591,6,23.68252283,4.2,4994.1,189.8
"BRA_MT_Sao.Felix.do.Araguaia.866280_INMET","MT","Sao Felix do Araguaia",11125,7,26.22321918,0,5921.5,816.5
"BRA_MT_Sao.Jose.do.Rio.Claro.866640_INMET","MT","Sao Jose do Rio Claro",19052,5,24.77842466,3.6,5394.1,445.2
"BRA_MT_Sinop.866260_INMET","MT","Sinop",129916,8,25.07813927,0,5503.5,481
"BRA_MT_Sorriso.866450_INMET","MT","Sorriso",80298,5,25.36191781,0,5607.1,552.2
"BRA_MT_Tangara.da.Serra.866820_INMET","MT","Tangara da Serra",94289,7,24.6294863,34.4,5339.8,475.8
"BRA_MT_Vila.Bela.da.Santissima.Trindade.867010_INMET","MT","Vila Bela da Santissima Trindade",15274,5,24.8040411,16.7,5403.5,579.4
"BRA_PA_Belem.816800_INMET","PA","Belem",1439561,8,27.15961187,0,6263.3,1153.3
"BRA_PA_Braganca.816850_INMET","PA","Braganca",121528,8,26.47391553,0,6013,905.7
"BRA_PA_Cameta.817100_INMET","PA","Cameta",130868,8,27.21635845,0,6284,1174.4
"BRA_PA_Castanhal.816820_INMET","PA","Castanhal",189784,8,26.20378995,0,5914.4,804.4
"BRA_PA_Conceicao.do.Araguaia.819400_INMET","PA","Conceicao do Araguaia",46395,8,26.76690639,0,6119.9,1013.8
"BRA_PA_Itaituba.817780_INMET","PA","Itaituba",98446,8,26.86221461,0,6154.7,1044.7
"BRA_PA_Maraba.825620_INMET","PA","Maraba",262085,8,26.49401826,0,6020.3,914.1
"BRA_PA_Novo.Repartimento.817840_INMET","PA","Novo Repartimento",70835,8,26.31906393,0,5956.5,849.3
"BRA_PA_Pacaja.817420_INMET","PA","Pacaja",44778,8,26.09781963,0,5875.7,766.9
"BRA_PA_Paragominas.817450_INMET","PA","Paragominas",107010,8,26.36994292,0,5975,867.5
"BRA_PA_Placas.817370_INMET","PA","Placas",28533,8,26.26666667,0,5937.3,829.7
"BRA_PA_Rondon.do.Para.817860_INMET","PA","Rondon do Para",49977,8,26.33827626,0,5963.5,855.6
"BRA_PA_Salinopolis.816600_INMET","PA","Salinopolis",39078,8,27.16197489,0,6264.1,1154.6
"BRA_PA_Santana.do.Araguaia.819820_INMET","PA","Santana do Araguaia",67033,8,26.33135845,0,5960.9,857
"BRA_PA_Serra.dos.Carajas.818600_INMET","PA","Maraba",262085,8,23.66492009,0,4987.7,178
"BRA_PA_Soure.821410_INMET","PA","Soure",24286,8,28.07552511,0,6597.6,1487.6
"BRA_PA_Tome.Acu.817110_INMET","PA","Tome Acu",60456,8,25.9977968,0,5839.2,731.7
"BRA_PA_Tucurui.817430_INMET","PA","Tucurui",107189,8,27.36156393,0,6337,1227
"BRA_PB_Areia.818770_INMET","PB","Areia",23110,8,22.47221461,0,4552.4,6.7
"BRA_PB_Cabaceiras.819150_INMET","PB","Cabaceiras",5449,8,25.37600457,0,5612.2,585.1
"BRA_PB_Camaratuba.818780_INMET","PB","Mataraca",8219,8,24.85134703,0,5420.7,378.2
"BRA_PB_Campina.Grande.819160_INMET","PB","Campina Grande",405072,8,23.62342466,0,4972.6,126.5
"BRA_PB_Joao.Pessoa.819180_INMET","PB","Joao Pessoa",791438,8,26.01545662,0,5845.6,751.4
"BRA_PB_Monteiro.819140_INMET","PB","Monteiro",32774,6,24.2397032,0,5197.5,335.9
"BRA_PB_Patos.819130_INMET","PB","Patos",106314,7,27.24381279,0,6294,1184.8
